Tipo de consulta
Descrição;Quantidade;
Primeira consulta odontológica programática;49;
Consulta de retorno em odontologia;27;
Consulta de manutenção em odontologia;4;
Não informado;49;

Vigilância em saúde bucal
Descrição;Quantidade;
Abscesso dentoalveolar;10;
Alteração em tecidos moles;3;
Dor de dente;7;
Fendas ou fissuras labiopalatais;0;
Fluorose dentária moderada ou severa;0;
Traumatismo dentoalveolar;0;
Não identificado;112;
Não informado;0;

Procedimentos
Descrição;Quantidade;
Acesso à polpa dentária e medicação (por dente);8;
Adaptação de prótese dentária;0;
Aplicação de cariostático (por dente);0;
Aplicação de selante (por dente);3;
Aplicação tópica de flúor (individual por sessão);3;
Capeamento pulpar;8;
Cimentação de prótese dentária;0;
Curativo de demora com ou sem preparo biomecânico;9;
Drenagem de abscesso;0;
Evidenciação de placa bacteriana;0;
Exodontia de dente decíduo;2;
Exodontia de dente permanente;5;
Instalação de prótese dentária;0;
Moldagem dentogengival para construção de prótese dentária;0;
Orientação de higiene bucal;0;
Profilaxia / Remoção da placa bacteriana;28;
Pulpotomia dentária;0;
Radiografia periapical / interproximal;0;
Raspagem alisamento e polimento supragengivais (por sextante);73;
Raspagem alisamento subgengivais (por sextante);0;
Restauração de dente decíduo;5;
Restauração de dente permanente anterior;14;
Restauração de dente permanente posterior;33;
Retirada de pontos de cirurgias básicas (por paciente);7;
Selamento provisório de cavidade dentária;10;
Tratamento de alveolite;0;
Ulotomia / Ulectomia;0;

Outros procedimentos (SIGTAP)
Descrição;Quantidade;
0301010030 - CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO);49;
0301010153 - PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA;49;
0301060037 - ATENDIMENTO DE URGÊNCIA EM ATENÇÃO BÁSICA;31;
0307040151 - AJUSTE OCLUSAL;5;
CDS - MEDIÇÃO DE PESO;2;

Fornecimento
Descrição;Quantidade;
Escova dental;49;
Creme dental;49;
Fio dental;49;
Não informado;80;

Conduta / Desfecho
Descrição;Quantidade;
Retorno para consulta agendada;54;
Agendamento para outros profissionais AB;0;
Agendamento para NASF;0;
Agendamento para grupos;0;
Alta do episódio;45;
Tratamento concluído;34;

Encaminhamento
Descrição;Quantidade;
Atendimento a pacientes com necessidades especiais;0;
Cirurgia BMF;3;
Endodontia;3;
Estomatologia;1;
Implantodontia;0;
Odontopediatria;0;
Ortodontia / Ortopedia;0;
Periodontia;3;
Prótese dentária;0;
Radiologia;24;
Outros;2;
Não informado;98;

Problemas / Condições avaliadas - CIAP2
Descrição;Quantidade;
A97 - SEM DOENÇA;9;
A98 - MEDICINA PREVENTIVA/MANUTENÇÃO DA SAÚDE;1;
D19 - SINAIS/SINTOMAS DOS DENTES/GENGIVAS;25;
D82 - DOENÇA DOS DENTES/GENGIVAS;94;
P72 - ESQUIZOFRENIA;1;
R76 - AMIGDALITE AGUDA;1;

Problemas / Condições avaliadas - CID10
Descrição;Quantidade;
J03 - AMIGDALITE AGUDA;1;
K006 - DISTÚRBIOS DA ERUPÇÃO DENTÁRIA;2;
K01 - DENTES INCLUSOS E IMPACTADOS;3;
K02 - CÁRIE DENTÁRIA;31;
K031 - ABRASÃO DENTÁRIA;4;
K037 - ALTERAÇÕES PÓS-ERUPTIVAS DA COR DOS TECIDOS DUROS DOS DENTES;1;
K040 - PULPITE;1;
K041 - NECROSE DA POLPA;3;
K044 - PERIODONTITE APICAL AGUDA DE ORIGEM PULPAR;1;
K046 - ABSCESSO PERIAPICAL COM FÍSTULA;5;
K047 - ABSCESSO PERIAPICAL SEM FÍSTULA;12;
K05 - GENGIVITE E DOENÇAS PERIODONTAIS;1;
K056 - DOENÇA PERIODONTAL, SEM OUTRA ESPECIFICAÇÃO;19;
K072 - ANOMALIAS DA RELAÇÃO ENTRE AS ARCADAS DENTÁRIAS;1;
K076 - TRANSTORNOS DA ARTICULAÇÃO TEMPOROMANDIBULAR;3;
K081 - PERDA DE DENTES DEVIDA A ACIDENTE, EXTRAÇÃO OU A DOENÇAS PERIODONTAIS LOCALIZADAS;4;
K083 - RAIZ DENTÁRIA RETIDA;3;
K120 - AFTAS BUCAIS RECIDIVANTES;1;
K136 - HIPERPLASIA IRRITATIVA DA MUCOSA ORAL;3;
S025 - FRATURA DE DENTES;8;
W345 - PROJÉTEIS DE OUT. ARMAS FOGO E DAS NÃO ESPECIFICADAS - ÁREAS DE COMÉRCIO E DE SERVIÇOS;1;
